singular,collective,preposition
files,folder,in a
particles,system,in a
members,tribe,in a
agents,colony,in a
stars,sky,in the
sheep,flock,in a
fish,school,in a
bees,swarm,in a
flowers,bouquet,in a
atoms,molecule,in a
lines,sketch,on a
points,pattern,in a
beams,structure,in a
pixels,digital image,in a
pixels,screen,on a
blocks,construction,in a
letters,word,in a
notes,melody,in a
leaves,tree,on a
circles,mandala,in a
colors,rainbow,in a
lines,labyrinth,in a
pixels,digital display,on a
curves,fractal,in a
strings,harmony,in a
dots,pointillism,in a
nodes,network,in a
circles,Venn diagram,in a
bytes,database,in a
brushstrokes,painting,in a
variables,equation,in an
triangles,tessellation,in a
pixels,photograph,in a
shapes,mosaic,in a
petals,flower,of a
pages,book,of a
waves,ocean,of the
blades,grass,of
layers,onion,of an
bricks,wall,of a
paws,dog,of a
ripples,water,of
peaks,mountain,of a
strings,guitar,of a
clouds,storm,of a
tiles,mosaic,of a
feathers,bird,of a
whiskers,cat,of a
sands,time,of
drops,rain,of
links,chain,of a
strands,hair,of
shards,glass,of
leaves,tree,of a
books,library,in a
clouds,sky,in the
stars,galaxy,in a
bees,hive,in a
waves,ocean,in the
particles,cosmos,in the
lights,city,in a
pixels,monitor,on a
drops,water,in a
leaves,forest,in a
stones,beach,on a
insects,swarm,in a
rays,sunshine,of
trees,orchard,in an
fish,ocean,in the
strings,orchestra,in an
sands,desert,in a
flowers,garden,in a
ants,colony,in an
waves,sound,in a
pixels,television,on a
letters,alphabet,in the
clouds,atmosphere,in the
pixels,art,in a
beams,light,in a
leaves,autumn,from
keys,piano,on a
bells,church,in a
rivers,landscape,in a
clouds,formation,in a
pixels,animation,in an
spheres,universe,in the
flames,fireplace,in a
squares,chessboard,on a
waves,radio,in the
grains,sand,of
stars,constellation,in a
pixels,game,in a
pebbles,stream,in a
pixels,digital artwork,in a
justice,scales,in
lights,stage,in a
waves,beach,along the
pixels,movie,on a
seeds,garden,in a
pixels,website,on a
books,bookstore,in a
flowers,meadow,in a
pixels,video game,in a
strings,guitar,in a
stones,wall,in a
drops,rainbow,after
keys,keyboard,on a
bells,sleigh,on a
rivers,journey,along the
clouds,imagination,in the
pixels,design,in a
beams,laser,in a
atoms,sphere,in an
flames,candle,in a
squares,pattern,in a
waves,emotion,in a
grains,rice,in a
stars,milky way,in the
pixels,landscape,in a
pebbles,beach,on a
pixels,art gallery,in a
music,scales,in
lights,night,in the
waves,signal,in a
pixels,computer screen,on a
seeds,plant,in a
pixels,interface,on a
